Date,Close/Last,Volume,Open,High,Low
02/21/2019,50.34,86009,50.95,51.08,50.235
02/20/2019,51.01,63670,51.37,51.66,50.8601
02/19/2019,51.32,85109,50.80,51.5927,50.80
02/15/2019,50.97,77091,50.94,51.1459,50.7818
02/14/2019,50.54,70288,50.11,50.74,49.93
02/13/2019,50.47,87785,50.72,50.84,50.3834
02/12/2019,50.47,86822,50.02,50.52,49.83
02/11/2019,49.65,68780,49.98,50.26,49.51
02/08/2019,49.61,143919,48.67,49.64,48.67
02/07/2019,49.27,117301,49.64,49.64,48.5001
02/06/2019,50.43,116963,50.67,50.7981,49.9401
02/05/2019,50.68,144705,50.45,50.86,50.415
02/04/2019,50.30,121712,49.50,50.41,49.39
02/01/2019,49.56,83364,49.30,49.7835,49.11
01/31/2019,49.52,199309,48.65,49.70,48.39
01/30/2019,48.64,114655,47.84,48.72,47.50
01/29/2019,47.19,99886,48.06,48.06,47.00
01/28/2019,48.15,130259,48.11,48.16,47.28
01/25/2019,49.07,91346,48.18,49.08,48.00
01/24/2019,47.83,67506,46.89,47.83,46.86
01/23/2019,46.73,142605,47.10,47.40,46.287
01/22/2019,46.85,363469,47.98,47.98,46.59
01/18/2019,48.47,145410,48.36,48.93,48.03
01/17/2019,48.10,69556,47.44,48.4899,47.156
01/16/2019,47.58,157605,47.50,47.992,47.42
01/15/2019,47.34,156766,46.57,47.5828,46.57
01/14/2019,46.45,55691,46.38,46.64,46.004
01/11/2019,46.89,68100,46.65,46.98,46.432
01/10/2019,46.76,135309,46.01,46.80,45.4481
01/09/2019,46.33,191846,45.71,46.598,45.66
01/08/2019,45.50,114305,45.69,45.86,44.3234
01/07/2019,45.00,134390,43.73,45.238,43.695
01/04/2019,43.46,110532,41.74,43.80,41.74
01/03/2019,40.89,93708,41.93,42.07,40.74
01/02/2019,42.46,215163,41.42,42.66,41.2506
12/31/2018,42.42,314677,42.62,42.88,41.95
12/28/2018,42.01,173799,42.30,42.774,41.3835
12/27/2018,42.12,152666,41.42,42.1299,40.1872
12/26/2018,47.46,143202,45.11,47.46,44.55
12/24/2018,44.63,209361,44.82,45.61,44.2712
12/21/2018,45.35,242249,47.33,47.5628,45.061
12/20/2018,47.17,488629,48.30,48.8099,46.2601
12/19/2018,48.57,244132,49.62,50.56,48.111
12/18/2018,49.64,101993,49.64,50.2501,49.25
12/17/2018,49.17,194513,51.04,51.04,48.90
12/14/2018,51.33,44089,51.59,52.3626,51.18
12/13/2018,52.55,232896,53.40,53.5399,52.28
12/12/2018,52.94,155998,52.70,53.933,52.70
12/11/2018,52.05,69479,53.02,53.33,51.6133
12/10/2018,52.00,112629,51.12,52.2568,50.8691
12/07/2018,51.45,127468,53.36,53.87,51.1359
12/06/2018,53.31,119155,51.29,53.38,51.19
12/04/2018,52.72,135734,55.16,55.17,52.59
12/03/2018,55.37,190265,55.46,55.88,54.9545
11/30/2018,53.98,78119,53.46,53.99,53.03
11/29/2018,53.445,215388,53.43,53.87,52.51
11/28/2018,53.615,131832,52.19,53.6799,51.55
11/27/2018,51.39,62171,50.92,51.54,50.654
11/26/2018,51.34,70789,50.20,51.4387,50.12
11/23/2018,49.42,25960,49.08,49.8599,49.08
11/21/2018,49.63,77976,50.14,50.4074,49.41
11/20/2018,49.04,363803,47.79,49.8099,47.15
11/19/2018,49.75,286668,52.47,52.50,49.70
11/16/2018,52.78,218905,52.46,53.09,52.2155
11/15/2018,53.61,98253,51.85,53.6935,51.7624
11/14/2018,51.99,114942,52.80,53.35,51.69
11/13/2018,52.13,212257,51.62,53.15,51.47
11/12/2018,51.46,146035,53.18,53.29,50.93
11/09/2018,53.55,160059,53.96,54.23,52.92
11/08/2018,54.86,136367,55.93,56.069,54.6001
11/07/2018,56.1211,201172,55.06,56.27,55.00
11/06/2018,54.50,74954,54.35,55.08,54.07
11/05/2018,54.51,141378,55.22,55.22,53.71
